date,Green,Yellow,Red,month,year
1994-09-11,21.599999999999998,0.0,2.4,Sep,1994
1994-09-12,23.0,0.0,1.0,Sep,1994
1994-09-13,22.5,0.0,1.5,Sep,1994
1994-09-14,24.0,0.0,0.0,Sep,1994
1994-09-15,23.741935483870968,0.0,0.25806451612903214,Sep,1994
1994-09-16,24.0,0.0,0.0,Sep,1994
1994-09-17,24.0,0.0,0.0,Sep,1994
1994-09-18,12.833333333333332,2.0,9.166666666666666,Sep,1994
1994-09-19,12.166666666666666,0.1666666666666666,11.666666666666666,Sep,1994
1994-09-20,23.5,0.0,0.5,Sep,1994
1994-09-21,24.0,0.0,0.0,Sep,1994
1994-09-22,24.0,0.0,0.0,Sep,1994
1994-09-23,24.0,0.0,0.0,Sep,1994
1994-09-24,23.666666666666668,0.0,0.3333333333333333,Sep,1994
1994-09-25,24.0,0.0,0.0,Sep,1994
1994-09-26,24.0,0.0,0.0,Sep,1994
1994-09-27,24.0,0.0,0.0,Sep,1994
1994-09-28,23.666666666666668,0.0,0.3333333333333333,Sep,1994
1994-09-29,24.0,0.0,0.0,Sep,1994
1994-09-30,24.0,0.0,0.0,Sep,1994
1994-10-01,24.0,0.0,0.0,Oct,1994
1994-10-02,24.0,0.0,0.0,Oct,1994
1994-10-03,24.0,0.0,0.0,Oct,1994
1994-10-04,24.0,0.0,0.0,Oct,1994
1994-10-05,24.0,0.0,0.0,Oct,1994
1994-10-06,24.0,0.0,0.0,Oct,1994
1994-10-07,24.0,0.0,0.0,Oct,1994
1994-10-08,24.0,0.0,0.0,Oct,1994
1994-10-09,24.0,0.0,0.0,Oct,1994
1994-10-10,22.666666666666668,0.0,1.3333333333333333,Oct,1994
1994-10-11,19.333333333333332,0.0,4.666666666666668,Oct,1994
1994-10-12,24.0,0.0,0.0,Oct,1994
1994-10-13,23.1864406779661,0.0,0.8135593220338981,Oct,1994
1994-10-14,24.0,0.0,0.0,Oct,1994
1994-10-15,24.0,0.0,0.0,Oct,1994
1994-10-16,23.0,0.0,1.0,Oct,1994
1994-10-17,22.72566371681416,0.0,1.274336283185841,Oct,1994
1994-10-21,24.0,0.0,0.0,Oct,1994
1994-10-22,24.0,0.0,0.0,Oct,1994
1994-10-23,24.0,0.0,0.0,Oct,1994
1994-10-24,24.0,0.0,0.0,Oct,1994
1994-10-25,23.666666666666668,0.0,0.3333333333333333,Oct,1994
1994-10-26,23.166666666666668,0.8333333333333334,0.0,Oct,1994
1994-10-27,20.833333333333332,2.166666666666667,1.0,Oct,1994
1994-10-28,24.0,0.0,0.0,Oct,1994
1994-10-29,24.0,0.0,0.0,Oct,1994
1994-10-30,24.0,0.0,0.0,Oct,1994
1994-10-31,24.0,0.0,0.0,Oct,1994
1994-11-01,24.0,0.0,0.0,Nov,1994
1994-11-02,11.5,3.0,9.5,Nov,1994
1994-11-03,4.333333333333333,8.666666666666666,11.0,Nov,1994
1994-11-04,7.182481751824817,8.75912408759124,8.05839416058394,Nov,1994
1994-11-05,11.666666666666668,6.000000000000002,6.333333333333334,Nov,1994
1994-11-06,24.0,0.0,0.0,Nov,1994
1994-11-07,18.166666666666668,4.833333333333333,1.0,Nov,1994
1994-11-08,18.5,3.5,2.0,Nov,1994
1994-11-09,11.666666666666666,10.333333333333334,2.0,Nov,1994
1994-11-10,10.333333333333334,6.166666666666668,7.5,Nov,1994
1994-11-11,24.0,0.0,0.0,Nov,1994
1994-11-12,14.666666666666664,3.166666666666667,6.166666666666668,Nov,1994
1994-11-13,22.166666666666668,0.0,1.833333333333333,Nov,1994
1994-11-14,22.0,0.0,2.0,Nov,1994
1994-11-15,23.166666666666668,0.0,0.8333333333333334,Nov,1994
1994-11-16,15.666666666666668,0.0,8.333333333333334,Nov,1994
1994-11-17,18.83333333333333,0.0,5.166666666666668,Nov,1994
1994-11-18,14.654867256637168,0.4247787610619468,8.920353982300885,Nov,1994
1994-11-20,17.704918032786885,4.524590163934427,1.7704918032786885,Nov,1994
1994-11-21,20.166666666666664,0.6666666666666665,3.166666666666666,Nov,1994
1994-11-22,19.333333333333332,4.666666666666668,0.0,Nov,1994
1994-11-23,24.0,0.0,0.0,Nov,1994
1994-11-24,23.172413793103445,0.8275862068965514,0.0,Nov,1994
1994-11-25,8.0,8.0,8.0,Nov,1994
1994-11-26,15.0,2.333333333333333,6.666666666666667,Nov,1994
1994-11-27,21.0,3.0,0.0,Nov,1994
1994-11-28,16.833333333333332,4.0,3.166666666666667,Nov,1994
1994-11-29,20.0,0.0,4.0,Nov,1994
1994-11-30,23.5,0.0,0.5,Nov,1994
1994-12-01,16.333333333333332,0.0,7.666666666666668,Dec,1994
1994-12-02,4.333333333333333,3.333333333333333,16.333333333333332,Dec,1994
1994-12-03,1.833333333333333,5.666666666666667,16.5,Dec,1994
1994-12-04,13.833333333333336,6.333333333333334,3.833333333333334,Dec,1994
1994-12-05,12.000000000000004,10.166666666666668,1.8333333333333335,Dec,1994
